4 100 5
0.6067637507900292 0.17076911891983582 0.7524967693604395 0.023039336760353524
0.6555440756730508 0.042305289112851585 0.8051972435092264 0.32021141900514005
0.08613547474217764 0.04518059835611943 0.9470786307417393 0.9794555832315195
0.2798395186450703 0.24524472184806312 0.018252972325885852 0.9532635764486247
0.394532062536177 0.17000132996676476 0.3330728527056529 0.334514557042218
0.9441481721052211 0.3736589477746646 0.5731733981915828 0.8043772101891279
0.9123596174337215 0.25527997810656966 0.8814486492698692 0.7328298574702208
0.9653085838209376 0.18964225964785641 0.7139719884343546 0.5641128311915673
0.41495475180212915 0.3816243721804702 0.25100841185103784 0.7770050780558464
0.14391925212298018 0.9409773175901073 0.9659793702717253 0.7279412382207917
0.35510838973666414 0.4166620994852128 0.518535335203071 0.7824062032420638
0.976502195930057 0.17150344340479162 0.1862010066063765 0.2606714527967945
0.7984287810997986 0.7777864586700098 0.6099528552382169 0.957403504876278
0.1837576634009498 0.6406713805302238 0.6994026697930998 0.36153646283004615
0.8370577303186136 0.4203131438780655 0.44291445689018094 0.20208990051664744
0.11165338954852011 0.4006545063217386 0.17885953699111878 0.0515411784341554
0.02201106164981881 0.3361793169407382 0.35389397578741577 0.4711860711814345
0.30216672570561354 0.4986693404411613 0.8738030942889408 0.2181551607310852
0.701710755858769 0.3052722352554974 0.12946099931916732 0.8915130980240078
0.8013485940546127 0.6300136698554597 0.5426901376557215 0.73453459962782
0.1506346916730842 0.7558105563054461 0.09858412723088605 0.9589938014817498
0.8756046023180647 0.630836098043092 0.22574379131668 0.5345248373927742
0.22212340346171922 0.5173601284420679 0.7194730824185543 0.9044333861289973
0.8505172130432284 0.6611076658628766 0.2979308273438126 0.25760893722250056
0.5120597877806647 0.002926975999688386 0.27307061526805765 0.7126421325758109
0.5167503967319961 0.704840912535585 0.2504419211377321 0.6913857130526743
0.5785415364777429 0.7316388372539775 0.4965631120403071 0.654675223079911
0.8182848040298909 0.3644474221838242 0.9202588023369968 0.9815989939977515
0.5242410410711424 0.9102133353106256 0.1863191504712196 0.6040940824939267
0.4094320366659967 0.21797744700171084 0.7106245027499933 0.3291359938703382
0.2864819742013983 0.2974101253041662 0.38349106884418604 0.22266266018173553
0.8965400622148031 0.7425683374040064 0.9227073583298459 0.8470874692067268
0.5831031264879103 0.49389993914113217 0.3379829241339757 0.4240099804454589
0.5075662264053101 0.9682734767870476 0.361448410945708 0.7554809060905214
0.6623604497049973 0.21699896429354892 0.8417477384668893 0.7740784784001428
0.8700532006238746 0.145278801871202 0.8014767882667995 0.7301699162676543
0.7160064969632175 0.504208320922924 0.8875942222656363 0.8611332980459384
0.4733101385583405 0.09555222595418755 0.9225841504220836 0.5375074525821179
0.9919154578532617 0.259145252715382 0.05047165694483835 0.5363590235211325
0.29468179782984527 0.5839407171962087 0.41118258672459995 0.4282958401013237
0.14416613161407843 0.9698081735763852 0.6450854865527158 0.06706134838095856
0.5617214571786516 0.740350615637346 0.7273046950710804 0.10346476936728333
0.5189427135965272 0.4488830289782443 0.6957009310888238 0.2832297586737017
0.5631343408601488 0.032474124536075455 0.4431158488394682 0.7846368949310603
0.1440795002888905 0.14700627524854637 0.47780472980922006 0.37554622832806683
